,mean_abs_shap
pl_rade,0.15855466
detectability,0.04829305
pl_dens,0.040151447
pl_eqt,0.027626444
pl_bmasse,0.027472565
sy_dist,0.023783857
distance_penalty,0.01599451
st_age,0.013820346
st_met,0.0068803183
pl_orbeccen,0.006033582
snr_proxy,0.0053705964
pl_orbper,0.0053464435
transit_depth_norm,0.0035764754
pl_insol,0.0034438518
pl_orbsmax,0.0031324553
st_rad,0.0027497795
st_lum_linear,0.0016526879
st_teff,0.0015285278
pl_orbincl,0.0013758906
st_mass,0.0011618909
