pl_name,hostname,sy_snum,sy_pnum,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_insol,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,st_age,sy_dist,sy_vmag,sy_jmag,st_lum_linear,snr_proxy,distance_penalty,transit_depth_norm,obs_duration_norm,detectability,spectral_class,star_O,star_B,star_A,star_F,star_G,star_K,star_M,star_Unknown,priority_score,_hz_factor_diag,_esi_diag,_rocky_diag
11 Com b,11 Com,2,1,2007.0,Radial Velocity,12.2,4914.89848585,14.9,323.21,1.178,0.238,88.74,734.7283769658036,,,,98.461,4874.0,13.76,2.09,1.97823,-0.26,2.45,3.98,93.1846,4.72307,2.943,95.1108362126332,0.0,0.3938260360722757,0.0,0.01865671641787564,0.1181478108216827,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4906191314715951,0.1
11 UMi b,11 UMi,1,1,2009.0,Radial Velocity,12.3,4684.8142,13.8,516.21997,1.53,0.08,88.74,819.9468700837081,,,,98.461,4213.0,29.79,2.78,2.42951,-0.02,1.93,1.56,125.321,5.013,2.876,268.84997473462806,0.0,0.2855865909711611,0.0,0.01865671641787564,0.08567597729134833,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4904456279047156,0.1
14 And b,14 And,1,1,2008.0,Radial Velocity,13.1,1131.15130051,2.76,186.76,0.775,0.0,88.74,832.2926419483466,,,,98.461,4888.0,11.55,1.78,1.83992,-0.21,2.55,4.5,75.4392,5.23133,3.019,69.17035426814304,0.0,0.47029646807490505,0.0,0.01865671641787564,0.1410889404224715,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5113516377741746,0.1
14 Her b,14 Her,1,2,2002.0,Radial Velocity,12.5,2828.6728223,7.96,1766.41,2.839,0.3683,146.7,134.754123810803,,,2456834.4,98.461,5338.0,0.93,0.97,-0.15273,0.43,4.45,4.6,17.9323,6.61935,5.158,0.7035095544212904,0.0,0.835835880801881,0.0,0.01865671641787564,0.2507507642405643,G,0,0,0,0,1,0,0,0,0.0,0.0,0.583174602055396,0.1
16 Cyg B b,16 Cyg B,3,1,1996.0,Radial Velocity,13.5,565.7374,1.26,798.5,1.66,0.68,88.74,209.24627696057212,,,2456937.32,98.461,5750.0,1.13,1.08,0.09729,0.06,4.36,7.4,21.1397,6.215,4.993,1.2510941690820965,0.0,0.809452650382121,0.0,0.01865671641787564,0.2428357951146363,G,0,0,0,0,1,0,0,0,0.3829436999006415,0.7941842765768413,0.4633097435377145,0.1
17 Sco b,17 Sco,1,1,2020.0,Radial Velocity,12.9,1373.01871824,3.51,578.38,1.45,0.06,88.74,775.2079878110721,,,,98.461,4157.0,25.92,1.22,2.25435,-0.01,1.7,5.13,124.953,5.22606,2.943,179.61805942264473,0.0,0.2866394857641274,0.0,0.01865671641787564,0.08599184572923822,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5482701615543389,0.1
18 Del b,18 Del,2,1,2008.0,Radial Velocity,12.5,2926.24614325,8.23,982.85,2.476,0.024,88.74,414.09508496734736,,,,98.461,4980.0,8.8,2.1,1.63367,-0.06,2.87,1.1,76.222,5.51048,4.032,43.01995977769538,0.0,0.46662935911323633,0.0,0.01865671641787564,0.1399888077339709,K,0,0,0,0,0,1,0,0,0.0,0.0,0.6141655502067315,0.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008.0,Imaging,18.647,3000.0,2.54,11.17931605,330.0,0.0,88.74,1700.0,,,,98.461,4060.0,1.31316,0.85,-0.37,0.0205,3.99592,0.005,139.135,12.618,9.82,0.42657951880159267,0.0,0.24873927983818483,0.0,0.01865671641787564,0.07462178395145545,K,0,0,0,0,0,1,0,0,0.0,0.0,0.41165385153634637,0.1
24 Boo b,24 Boo,1,1,2018.0,Radial Velocity,13.9,280.64248338,0.574,30.33,0.194,0.032,88.74,1683.8065057610968,,,,98.461,4816.0,12.19,1.05,1.87691,-0.78,2.28,6.92,95.9863,5.59,3.845,75.31994600329986,0.0,0.382945345893913,0.0,0.01865671641787564,0.11488360376817389,K,0,0,0,0,0,1,0,0,0.0,0.0,0.2825823905315078,0.1
24 Sex b,24 Sex,1,2,2010.0,Radial Velocity,13.4,632.46,1.44,452.8,1.333,0.09,88.74,431.1094209665288,,,,98.461,5098.0,4.9,1.54,1.164,-0.03,3.5,2.7,72.0691,6.4535,5.292,14.588142602753482,0.0,0.4864160263318184,0.0,0.01865671641787564,0.1459248078995455,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4764864842934032,0.1
24 Sex c,24 Sex,1,2,2010.0,Radial Velocity,13.9,273.32,0.559,883.0,2.08,0.29,88.74,345.12063016753063,,,,98.461,5098.0,4.9,1.54,1.164,-0.03,3.5,2.7,72.0691,6.4535,5.292,14.588142602753482,0.0,0.4864160263318184,0.0,0.01865671641787564,0.1459248078995455,K,0,0,0,0,0,1,0,0,0.0,0.0,0.36521360546337034,0.1
2M0437 b,2MASS J04372171+2651014,1,1,2021.0,Imaging,13.0,1271.313628,3.18,11.17931605,118.0,0.0,88.74,1450.0,,,,98.461,3100.0,0.84,0.17,-1.16368,0.01,4.5,0.0025,128.484,16.186,11.298,0.0685993498970005,0.0,0.27669485126667087,0.0,0.01865671641787564,0.08300845538000126,M,0,0,0,0,0,0,1,0,0.0,0.0,0.4776156591325782,0.1
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,2013.0,Imaging,11.209,7786.5,30.4,11.17931605,52.0,0.0,88.74,1600.0,,,,98.461,3530.0,0.36645,0.4,-1.72,0.0205,4.85804,0.12,33.8281,14.244,10.084,0.019054607179632473,0.0,0.7129949081770522,0.0,0.01865671641787564,0.21389847245311566,M,0,0,0,0,0,0,1,0,0.0,0.0,0.35282672109249824,0.1
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,2015.0,Imaging,16.14096,4417.837,5.77,11.17931605,156.0,0.0,88.74,5.735672409491408,,,,98.461,3064.0,0.281,0.108,-2.23,0.0205,4.59,0.035,40.08964117,13.364,11.381,0.00588843655355589,0.0,0.6697194325423285,0.0,0.01865671641787564,0.20091582976269853,M,0,0,0,0,0,0,1,0,0.0,0.0,0.3094393313767221,0.1
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,2018.0,Imaging,17.37392009,3616.88727166,3.79,11.17931605,1950.0,0.0,88.74,1723.0,,,,98.461,2859.0,0.315959,0.046,-2.59,0.0205,4.90849,0.022,66.0613,18.3,11.963,0.0025703957827688645,0.0,0.5165346017121709,0.0,0.01865671641787564,0.15496038051365127,M,0,0,0,0,0,0,1,0,0.0,0.0,0.4555537484005621,0.1
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,2024.0,Imaging,12.2,5720.911326,17.3,11.17931605,572.0,0.0,88.74,2369.0,,,,98.461,2943.0,0.289776,0.264996,-2.24602,0.0205,4.93718,3.98,117.435,13.364,13.479,0.0056751846961539,0.0,0.3090197772769637,0.0,0.01865671641787564,0.09270593318308912,M,0,0,0,0,0,0,1,0,0.0,0.0,0.3773814073259279,0.1
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,2010.0,Imaging,12.6,2383.6,6.55,11.17931605,15.0,0.0,88.74,16.102024931105433,,,,98.461,2936.0,0.231916,0.019,-2.44363,0.0205,5.01181,0.001,120.42398696,13.364,14.419,0.003600559565300773,0.0,0.29991989111540757,0.0,0.01865671641787564,0.08997596733462226,M,0,0,0,0,0,0,1,0,0.0,0.0,0.39847869028092536,0.1
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,2024.0,Imaging,12.1,6356.56814,19.7,11.17931605,587.0,0.0,88.74,2506.0,,,,98.461,3021.0,0.600455,0.58846,-1.56774,0.0205,4.65082,3.98,100.862,16.957,11.216,0.027055776332636644,0.0,0.36472194873223174,0.0,0.01865671641787564,0.10941658461966952,M,0,0,0,0,0,0,1,0,0.0,0.0,0.3604293411466993,0.1
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004.0,Imaging,15.69257298,1652.7077164,2.35,11.17931605,46.0,0.0,88.74,1163.0,,,,98.461,2825.0,0.21887,0.188001,-2.56086,0.0205,5.03186,0.01,64.308,20.15,12.995,0.0027487801123104462,0.0,0.5256708618646494,0.0,0.01865671641787564,0.15770125855939482,M,0,0,0,0,0,0,1,0,0.0,0.0,0.4482718649046206,0.1
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,2015.0,Eclipse Timing Variations,13.4,603.877,1.38,406.0,0.92,0.33,88.74,612.5224570652098,,,,98.461,29564.0,0.203,0.48,1.45,-0.092,5.508,3.98,396.332,12.651,12.757,28.183829312644534,0.0,0.018999929696628302,0.0,0.01865671641787564,0.005699978908988491,B,0,1,0,0,0,0,0,0,0.0,0.0,0.44668739101072397,0.1
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,2024.0,Imaging,12.4,3813.940884,11.0,11.17931605,7493.0,0.0,88.74,1616.0,,,,98.461,3592.0,0.672832,0.643977,-1.16815,0.0205,4.59112,3.98,34.1154,11.804,8.239,0.06789690845006052,0.0,0.7109494135658497,0.0,0.01865671641787564,0.2132848240697549,M,0,0,0,0,0,0,1,0,0.0,0.0,0.4564192853323153,0.1
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,2016.0,Imaging,12.3,3972.875,11.7,11.17931605,230.0,0.0,88.74,9.41975973690287,,,,98.461,4045.0,0.641152,0.6,-1.02143,0.0205,4.62349,0.12,69.5737,12.368,9.975,0.0951853256367685,0.0,0.49870676562456356,0.0,0.01865671641787564,0.14961202968736906,K,0,0,0,0,0,1,0,0,0.0,0.0,0.31268399196756175,0.1
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,1,2018.0,Imaging,11.9,9534.85221,31.1,11.17931605,518.0,0.0,88.74,1600.0,,,,98.461,3352.0,0.437589,0.433173,-1.66196,0.0205,4.7926,0.15,57.2309,14.784,10.707,0.021779103560725856,0.0,0.5642211468460087,0.0,0.01865671641787564,0.1692663440538026,M,0,0,0,0,0,0,1,0,0.0,0.0,0.34675972117999787,0.1
4 UMa b,4 UMa,1,1,2006.0,Radial Velocity,12.6,2511.48007211,6.9,270.27,0.877,0.453,88.74,884.9013414707281,,,,98.461,4415.0,18.11,1.234,2.06236,-0.25,1.8,4.604,73.4603,4.5801,2.619,115.44097869541636,0.0,0.4796958604342961,0.0,0.01865671641787564,0.1439087581302888,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5642070059065449,0.1
47 UMa b,47 UMa,1,3,1996.0,Radial Velocity,13.2,804.08,1.92,1078.0,2.1,0.032,88.74,196.8667511150639,,,2454415.6,98.461,5872.0,1.21334,1.06,0.1978,0.04,4.29541,6.48,13.7967,5.03352,3.96,1.5768849201219266,0.0,0.8711274384769444,0.0,0.01865671641787564,0.26133823154308333,G,0,0,0,0,1,0,0,0,0.31220817141411816,0.5046166000458446,0.518582068218304,0.1
47 UMa c,47 UMa,1,3,2001.0,Radial Velocity,14.2,171.621,0.329,2391.0,3.6,0.098,88.74,150.35946480080207,,,2455651.0,98.461,5872.0,1.21334,1.06,0.1978,0.04,4.29541,6.48,13.7967,5.03352,3.96,1.5768849201219266,0.0,0.8711274384769444,0.0,0.01865671641787564,0.26133823154308333,G,0,0,0,0,1,0,0,0,0.0,0.0,0.285866392203548,0.1
47 UMa d,47 UMa,1,3,2009.0,Radial Velocity,13.5,521.22,1.16,14002.0,11.6,0.16,88.74,83.7631549929164,,,2451820.0,98.461,5872.0,1.21334,1.06,0.1978,0.04,4.29541,6.48,13.7967,5.03352,3.96,1.5768849201219266,0.0,0.8711274384769444,0.0,0.01865671641787564,0.26133823154308333,G,0,0,0,0,1,0,0,0,0.0,0.0,0.3908973849985036,0.1
51 Peg b,51 Peg,1,1,1995.0,Radial Velocity,14.3,146.2018,0.275,4.230785,0.0527,0.013,80.0,1199.506776545476,,,2455705.001,98.461,5758.0,1.17561,1.03,0.13631,0.18,4.31038,10.0,15.4614,5.45309,4.655,1.3687054608377462,0.0,0.85674581755155,0.0,0.01865671641787564,0.257023745265465,G,0,0,0,0,1,0,0,0,0.0,0.0,0.23514540106270698,0.1
55 Cnc B b,55 Cnc B,2,7,2025.0,Radial Velocity,1.69,3.5,3.98,6.7994,0.044,0.0,88.74,361.677272865195,,,2455495.7,98.461,3286.0,0.274,0.26,-2.10811,0.16,4.86,10.0,12.4773,13.152,8.56,0.007796326167647233,0.0,0.882697252120294,0.0,0.01865671641787564,0.2648091756360882,M,0,0,0,0,0,0,1,0,0.0,0.0,0.8630401692155499,1.0
55 Cnc B c,55 Cnc B,2,7,2025.0,Radial Velocity,2.16,5.3,2.89,33.747,0.13,0.0,88.74,210.41460513649287,,,2455491.8,98.461,3286.0,0.274,0.26,-2.10811,0.16,4.86,10.0,12.4773,13.152,8.56,0.007796326167647233,0.0,0.882697252120294,0.0,0.01865671641787564,0.2648091756360882,M,0,0,0,0,0,0,1,0,0.7359885065970081,0.9109941731846731,0.7711008061416731,0.5
55 Cnc b,55 Cnc,2,7,1996.0,Radial Velocity,13.9,263.9785,0.54,14.651552,0.118,0.0029,89.73,700.0,,,2455495.595,98.461,5198.0,0.98,1.015,-0.19695,0.39,4.3,10.0,12.5855,5.95084,4.768,0.6354040812391201,0.0,0.8817426902046237,0.0,0.01865671641787564,0.2645228070613871,K,0,0,0,0,0,1,0,0,0.0,0.0,0.3255212621614159,0.1
55 Cnc c,55 Cnc,2,7,2004.0,Radial Velocity,8.51,54.4738,0.486,44.3936,0.247,0.088,89.73,456.6732292442452,,,2455491.23,98.461,5198.0,0.98,1.015,-0.19695,0.39,4.3,10.0,12.5855,5.95084,4.768,0.6354040812391201,0.0,0.8817426902046237,0.0,0.01865671641787564,0.2645228070613871,K,0,0,0,0,0,1,0,0,0.0,0.0,0.36588885555916045,0.1
55 Cnc d,55 Cnc,2,7,2002.0,Radial Velocity,13.0,1232.493,3.08,4799.0,5.6,0.0913,89.73,95.90914437834851,,,2451517.8,98.461,5198.0,0.98,1.015,-0.19695,0.39,4.3,10.0,12.5855,5.95084,4.768,0.6354040812391201,0.0,0.8817426902046237,0.0,0.01865671641787564,0.2645228070613871,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5218213272939514,0.1
55 Cnc e,55 Cnc,2,7,2004.0,Radial Velocity,1.875,7.99,6.66,0.7365474,0.01544,0.05,83.59,1958.0,0.03846733,1.5439,2457063.2096,2657.8322,5172.0,0.943,0.905,-0.19695,0.35,4.43,5.5,12.5855,5.95084,4.768,0.6354040812391201,5.918363379996994,0.8817426902046237,0.0006790349514551121,0.028804104477558202,0.7646586140516781,K,0,0,0,0,0,1,0,0,0.0,0.0,0.655931989945764,0.85
55 Cnc f,55 Cnc,2,7,2007.0,Radial Velocity,7.59,44.812,0.563,260.58,0.802,0.063,89.73,253.43514829582926,,,2455236.4,98.461,5198.0,0.98,1.015,-0.19695,0.39,4.3,10.0,12.5855,5.95084,4.768,0.6354040812391201,0.0,0.8817426902046237,0.0,0.01865671641787564,0.2645228070613871,K,0,0,0,0,0,1,0,0,0.1959753656739141,0.21859782993303128,0.4091596530123417,0.1
6 Lyn b,6 Lyn,1,1,2008.0,Radial Velocity,13.4,597.83523357,1.37,919.86,2.028,0.042,88.74,340.13323534791897,,,,98.461,4941.0,4.94,1.32,1.1186,-0.17,3.16,2.353,54.6599,5.87307,4.272,13.140140230390378,0.0,0.5789153572033726,0.0,0.01865671641787564,0.17367460716101177,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4848476391466257,0.1
61 Vir b,61 Vir,1,3,2009.0,Radial Velocity,2.11,5.1,2.98,4.215,0.050201,0.12,88.74,1077.3636562177492,,,2455200.597,98.461,5577.0,0.963,0.942,-0.095,-0.01,4.34,8.96,8.50332,4.6955,3.334,0.8035261221856173,0.0,0.9184817902998201,0.0,0.01865671641787564,0.27554453708994603,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6625440402124297,0.5
61 Vir c,61 Vir,1,3,2009.0,Radial Velocity,4.46,18.2,1.13,38.021,0.2175,0.14,88.74,517.593572367396,,,2455036.24,98.461,5577.0,0.963,0.942,-0.095,-0.01,4.34,8.96,8.50332,4.6955,3.334,0.8035261221856173,0.0,0.9184817902998201,0.0,0.01865671641787564,0.27554453708994603,G,0,0,0,0,1,0,0,0,0.0,0.0,0.5200870939780977,0.1
61 Vir d,61 Vir,1,3,2009.0,Radial Velocity,5.11,22.9,0.943,123.01,0.476,0.35,88.74,349.87670574140935,,,2455245.8,98.461,5577.0,0.963,0.942,-0.095,-0.01,4.34,8.96,8.50332,4.6955,3.334,0.8035261221856173,0.0,0.9184817902998201,0.0,0.01865671641787564,0.27554453708994603,G,0,0,0,0,1,0,0,0,0.0,0.0,0.5091543318760092,0.1
7 CMa b,7 CMa,1,2,2011.0,Radial Velocity,13.4,587.9855,1.34,735.1,1.758,0.06,90.0,354.2803621091483,,,,98.461,4826.0,4.87,1.34,1.06258,0.21,3.19,4.3,19.8101,3.95,2.173,11.549947229854663,0.0,0.8202869999668196,0.0,0.01865671641787564,0.24608609999004588,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4792863616630853,0.1
7 CMa c,7 CMa,1,2,2019.0,Radial Velocity,13.9,276.5121,0.566,996.0,2.153,0.08,90.0,320.13598974705116,,,,98.461,4826.0,4.87,1.34,1.06258,0.21,3.19,4.3,19.8101,3.95,2.173,11.549947229854663,0.0,0.8202869999668196,0.0,0.01865671641787564,0.24608609999004588,K,0,0,0,0,0,1,0,0,0.0,0.0,0.3701486734574092,0.1
70 Vir b,70 Vir,1,1,1996.0,Radial Velocity,12.6,2380.45,6.54,116.688,0.481,0.3988,88.74,480.4307290696536,,,2455656.682,98.461,5495.0,1.89,1.09,0.4513,-0.09,3.95,7.77,17.9011,4.96808,3.798,2.8268320070020048,0.0,0.8360967022827264,0.0,0.01865671641787564,0.2508290106848179,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6292884248219811,0.1
75 Cet b,75 Cet,2,2,2012.0,Radial Velocity,13.3,787.89662095,1.84,696.62,1.912,0.093,88.74,494.2130703871347,,,,98.461,4809.0,10.38,1.92,1.7145,0.1,2.69,3.98,82.9613,5.3532,3.931,51.820309200722704,0.0,0.43621807005288754,0.0,0.01865671641787564,0.13086542101586626,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5005058401134713,0.1
75 Cet c,75 Cet,2,2,2023.0,Radial Velocity,13.9,289.85950718,0.593,2051.62,3.929,0.023,88.74,344.7602258241,,,,98.461,4809.0,10.38,1.92,1.7145,0.1,2.69,3.98,82.9613,5.3532,3.931,51.820309200722704,0.0,0.43621807005288754,0.0,0.01865671641787564,0.13086542101586626,K,0,0,0,0,0,1,0,0,0.0,0.0,0.37229393941814115,0.1
8 UMi b,8 UMi,1,1,2015.0,Radial Velocity,13.5,524.41687155,1.17,93.31,0.462,0.062,88.74,1030.283180597703,,,,98.461,4847.0,10.73,1.51,1.72346,-0.03,2.57,1.7,162.552,6.83295,5.069,52.900527177961074,0.0,0.19680930775093242,0.0,0.01865671641787564,0.059042792325279723,K,0,0,0,0,0,1,0,0,0.0,0.0,0.3890748373982366,0.1
81 Cet b,81 Cet,1,1,2008.0,Radial Velocity,13.1,1051.05854195,2.57,1005.57,2.104,0.037,88.74,481.9621235503397,,,,98.461,4734.0,11.21,1.23,1.76027,-0.11,2.41,3.98,101.26,5.64307,3.94,57.57977984102218,0.0,0.36327324021856267,0.0,0.01865671641787564,0.1089819720655688,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5486189020481386,0.1
91 Aqr b,91 Aqr,3,1,2013.0,Radial Velocity,13.1,1017.0,2.49,181.4,0.7,0.027,88.74,815.6497130597387,,,,98.461,4665.0,11.0,1.4,1.69239,-0.03,2.52,3.56,44.0304,4.23946,2.263,49.248158966680236,0.0,0.6438406637677516,0.0,0.01865671641787564,0.19315219913032547,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5005278841272791,0.1
AB Aur b,AB Aur,1,1,2022.0,Imaging,12.5,2860.455663,8.05,11.17931605,93.9,0.4,42.6,76.49436203398076,,,,98.461,9770.0,2.95887,2.4,1.77085,0.0205,3.77411,0.003,162.127,7.076,5.936,58.999726713977324,0.0,0.19764752726364376,0.0,0.01865671641787564,0.059294258179093125,A,0,0,1,0,0,0,0,0,0.0,0.0,0.5277324866453593,0.1
AB Pic b,AB Pic,1,1,2005.0,Imaging,12.3,4290.5,12.7,11.17931605,260.0,0.0,88.74,14.452114830324593,,,,98.461,5285.0,0.999394,0.9,-0.22631,0.04,4.53,0.03,50.0475,9.13,7.576,0.593868103416924,0.0,0.6062426260626774,0.0,0.01865671641787564,0.18187278781880323,G,0,0,0,0,1,0,0,0,0.0,0.0,0.3373136075633344,0.1
AF Lep b,AF Lep,1,1,2023.0,Imaging,13.0,1147.36054927,2.87,8905.0,8.996,0.015,57.5,1400.0,,,2456700.0,98.461,6140.0,1.25,1.218,0.29,0.19,4.4,0.024,26.8564,6.332,5.268,1.9498445997580451,0.0,0.7644764947485064,0.0,0.01865671641787564,0.2293429484245519,F,0,0,0,1,0,0,0,0,0.0,0.0,0.4696476963178495,0.1
AU Mic b,AU Mic,1,4,2020.0,Transit,4.79,8.99,0.49,8.463446,0.07,0.07,88.39,554.8,0.249,3.24,2458330.350878,21.2,3540.0,0.862,0.635,-0.97757,0.01,4.37,0.019,9.7221,8.81,5.436,0.10530039492670766,29.996587588864475,0.9073554584172561,0.004395410414820132,0.06044776119391707,0.7730857196081409,M,0,0,0,0,0,0,1,0,0.0,0.0,0.39166727646849864,0.1
AU Mic c,AU Mic,1,4,2021.0,Transit,2.79,14.46,3.9,18.859023,0.119,0.18,89.46,424.7,0.085,4.29,2458342.223325,7.3,3540.0,0.862,0.635,-0.97757,0.01,4.37,0.019,9.7221,8.81,5.436,0.10530039492670766,11.782774652478654,0.9073554584172561,0.0015004413062639005,0.0800373134326865,0.7725067257864296,M,0,0,0,0,0,0,1,0,0.0,0.0,0.7879991414317316,0.1
BD+03 2562 b,BD+03 2562,1,1,2017.0,Radial Velocity,12.7,2034.112,5.46,481.9,1.3,0.2,88.74,900.9985447577163,,,,98.461,4095.0,32.35,1.14,2.7,-0.71,1.89,5.2,1070.63,9.577,6.96,501.18723362727246,0.0,2.2403351270580744e-05,0.0,0.01865671641787564,6.721005381174223e-06,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5847858487018303,0.1
BD+05 4868 A b,BD+05 4868 A,2,1,2025.0,Transit,2.3641170239563363,6.2,2.586980487075759,1.271869,0.0208,0.0,88.74,1820.0,1.4,,2460556.2892,98.461,4596.0,0.69,0.7,-0.7167,-0.05,4.6,11.1,43.5687,10.158,8.113,0.19199945679542882,7.960274345783975,0.6468201489612083,0.024713150926699533,0.01865671641787564,0.6989886748737024,K,0,0,0,0,0,1,0,0,0.0,0.0,0.570363457918113,0.5
BD+14 4559 b,BD+14 4559,1,1,2009.0,Radial Velocity,13.8,330.5432,0.691,268.94,0.78,0.29,88.74,225.26836535376168,,,,98.461,4864.0,0.86,0.49,-0.32,0.17,4.26,3.98,49.352,9.78,7.882,0.4786300923226383,0.0,0.6104737401706377,0.0,0.01865671641787564,0.18314212205119132,K,0,0,0,0,0,1,0,0,0.3269574385662424,0.6214269086252118,0.3881333625889287,0.1
BD+15 2375 b,BD+15 2375,1,1,2016.0,Radial Velocity,13.8,337.21763,0.705,153.22,0.576,0.001,88.74,808.2850370312993,,,,98.461,4649.0,8.95,1.08,1.57,-0.22,2.61,7.41,768.045,10.41,8.372,37.15352290971726,0.0,0.0004617670568451427,0.0,0.01865671641787564,0.00013853011705354282,K,0,0,0,0,0,1,0,0,0.0,0.0,0.3465229360690013,0.1
BD+15 2940 b,BD+15 2940,1,1,2013.0,Radial Velocity,13.7,352.78,0.754,137.48,0.539,0.26,88.74,1104.7097226588023,,,,98.461,4796.0,14.7,1.1,2.01,0.28,2.8,7.1,426.42,9.01,7.154,102.32929922807536,0.0,0.014063113124549288,0.0,0.01865671641787564,0.004218933937364786,K,0,0,0,0,0,1,0,0,0.0,0.0,0.33514463547039486,0.1
BD+20 2457 b,BD+20 2457,1,2,2009.0,Radial Velocity,12.1,6807.63,21.1,379.63,1.45,0.15,88.74,1060.7285955081775,,,,98.461,4137.0,49.0,2.8,3.17,-1.0,1.51,3.98,1539.71,9.743,7.299,1479.1083881682073,0.0,2.0564797276781297e-07,0.0,0.01865671641787564,6.169439183034388e-08,K,0,0,0,0,0,1,0,0,0.0,0.0,0.41903840256123337,0.1
BD+20 2457 c,BD+20 2457,1,2,2009.0,Radial Velocity,12.4,3963.17,11.4,621.99,2.01,0.18,88.74,900.9283416451319,,,,98.461,4137.0,49.0,2.8,3.17,-1.0,1.51,3.98,1539.71,9.743,7.299,1479.1083881682073,0.0,2.0564797276781297e-07,0.0,0.01865671641787564,6.169439183034388e-08,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5050987499098825,0.1
BD+20 274 b,BD+20 274,1,1,2012.0,Radial Velocity,13.0,1334.886,3.34,578.2,1.3,0.21,88.74,691.2264770308313,,,,98.461,4296.0,17.3,0.8,1.96,-0.46,1.99,3.98,1322.51,9.367,7.003,91.20108393559097,0.0,1.804729209268264e-06,0.0,0.01865671641787564,5.414187627804792e-07,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5520734993698722,0.1
BD+20 594 b,BD+20 594,1,1,2016.0,Transit,2.57807,22.2481,7.89,41.6855,0.241,0.0,89.55,546.0,0.049,,2457068.52877,98.461,5766.0,1.08,1.67,-0.05552,-0.15,4.5,3.34,179.461,10.849,9.770001,0.8799945855058902,0.06056136845967361,0.16619225468888363,0.0008649602824344838,0.01865671641787564,0.05517863658910287,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7661062808071298,0.1
BD+37 3172 b,BD+37 3172,1,1,2023.0,Radial Velocity,12.4,3368.9811142,9.71,1887.76,4.65,0.59,88.74,652.402429692683,,,2456191.534,98.461,4500.0,50.24,3.75,2.84,-0.03,1.5,3.98,454.251,9.162,7.149,691.8309709189363,0.0,0.01064664989672533,0.0,0.01865671641787564,0.003193994969017599,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5539165258671694,0.1
BD+42 2315 b,BD+42 2315,1,1,2023.0,Radial Velocity,14.2,174.80562385,0.335,123.05,0.54,0.73,88.74,1141.1413988107306,,,2453155.66,98.461,4500.0,17.85,1.38,1.99,-0.2,2.0,3.98,610.715,9.723,7.856,97.72372209558107,0.0,0.0022268884094001655,0.0,0.01865671641787564,0.0006680665228200497,K,0,0,0,0,0,1,0,0,0.0,0.0,0.25404317840922463,0.1
BD+45 564 b,BD+45 564,1,1,2021.0,Radial Velocity,13.6,432.24663352,0.944,307.88,0.83,0.12,2.579,218.44662439496602,,,,98.461,5004.0,0.813064,0.81,-0.39918,-0.09,4.22,3.98,53.622,9.67,8.063,0.3988595546474113,0.0,0.5849552092887091,0.0,0.01865671641787564,0.17548656278661273,K,0,0,0,0,0,1,0,0,0.3946014090633282,0.8712147305719334,0.42705138417673566,0.1
BD+48 738 b,BD+48 738,1,1,2011.0,Radial Velocity,13.9,289.2253,0.592,392.6,1.0,0.2,88.74,645.7038687375588,,,,98.461,4414.0,11.0,0.74,1.69,-0.2,2.24,3.98,871.493,9.139,6.704,48.97788193684461,0.0,0.00016411715917144095,0.0,0.01865671641787564,4.923514775143228e-05,K,0,0,0,0,0,1,0,0,0.0,0.0,0.33980015014434983,0.1
