pl_name,hostname,sy_snum,sy_pnum,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_insol,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,st_age,sy_dist,sy_vmag,sy_jmag,st_lum_linear,snr_proxy,distance_penalty,transit_depth_norm,obs_duration_norm,detectability,spectral_class,star_O,star_B,star_A,star_F,star_G,star_K,star_M,star_Unknown,priority_score,_hz_factor_diag,_esi_diag,_rocky_diag
K2-64 b,K2-64,1,1,2016.0,Transit,2.07,4.94,3.06,6.53044,0.0619,0.0,88.74,802.3904836041088,0.095,3.06,2456986.1918,98.0,5312.0,0.726,0.741,-0.23421,0.0205,4.576,3.98,499.891,14.132,12.665,0.5831630517515504,0.014275269584620935,0.0067452953654465846,0.0016769638128831827,0.05708955223869946,0.00357243864175562,G,0,0,0,0,1,0,0,0,0.0,0.0,0.7042443039671262,0.5
K2-65 b,K2-65,1,1,2016.0,Transit,1.58,3.12,4.35,12.6475,0.1014,0.0,89.14842,661.7791917200881,0.0391,3.43,2456986.3303,45.0,5213.0,0.84,0.87,-0.328,-0.34,4.533,3.98,72.2,10.71,8.967,0.4698941086052154,0.18750973386420006,0.485779724303885,0.0006902030008813943,0.06399253731331345,0.1618110649126965,G,0,0,0,0,1,0,0,0,0.0,0.0,0.8106657426310998,1.0
K2-66 b,K2-66,1,1,2016.0,Transit,2.49,21.3,7.8,5.06963,0.05983,0.0,86.6,1372.0,0.0288,4.71,2456984.0075,840.0,5887.0,1.67,1.11,0.50621,-0.047,4.03,3.98,513.877,11.71,10.948,3.2078200680704008,0.026103752394337137,0.005864899104549701,0.0005083848190635333,0.08787313432819426,0.004080074184955908,G,0,0,0,0,1,0,0,0,0.0,0.0,0.6571065690687934,0.5
K2-68 b,K2-68,1,1,2016.0,Transit,1.58,3.12,4.35,8.05428,0.0708,0.0,88.71527,646.3499336140834,0.0668,2.72,2456982.3281,41.0,4746.0,0.675,0.73,-0.67323,-0.21,4.632,3.98,168.652,12.987,11.139,0.21221203009604797,0.038588768102562426,0.185162770536306,0.0011791703442168063,0.05074626865662174,0.05906487096590475,K,0,0,0,0,0,1,0,0,0.0,0.0,0.8137697505187416,1.0
K2-69 b,K2-69,1,1,2016.0,Transit,2.32,5.99,2.64,7.06599,0.0591,0.0,88.74,524.6699506041537,0.221,1.62,2456982.7825,17.9,4127.0,0.491,0.551,-1.35611,0.0205,4.786,3.98,180.697,16.024,12.608,0.0440443291980062,0.025465357704069106,0.16415076084268226,0.003901147396286141,0.030223880596958536,0.05219011901879915,K,0,0,0,0,0,1,0,0,0.0,0.0,0.717733053506895,0.5
K2-7 b,K2-7,1,1,2015.0,Transit,4.03523305,15.3,1.28,28.6781,0.1867,0.24,89.08,786.0,0.058,7.5816,2456853.2946,125.0,5700.0,1.533,1.056,0.35025,0.049,4.092,8.6,738.553,13.453,11.952,2.240010221040763,0.02645504029542684,0.0006201618906858693,0.001023830538391838,0.14144776119376595,0.002639603096867842,G,0,0,0,0,1,0,0,0,0.0,0.0,0.512233022911499,0.1
K2-70 b,K2-70,1,1,2016.0,Transit,2.89,8.7,1.98,13.97896,0.1112,0.0,89.14508,717.1081181071877,0.1076,3.52,2456984.4435,62.0,5622.0,0.93,0.94,-0.42935,0.06,4.478,3.98,232.964,13.074,11.355,0.3720917148959887,0.05795402490311154,0.09733077986400605,0.0018993821712234786,0.06567164179092225,0.03450544347606903,G,0,0,0,0,1,0,0,0,0.0,0.0,0.616401383202757,0.1
K2-71 b,K2-71,1,1,2016.0,Transit,2.15,5.27,2.91,6.98541,0.0559,0.0,88.74,487.76940684435175,0.291,1.41,2456987.3785,13.4,4006.0,0.426,0.477,-1.51871,0.0205,4.852,3.98,153.192,16.14,12.598,0.03028935323550019,0.03157203279956676,0.21612031769798898,0.0051368049426211175,0.02630597014920465,0.06854721035859528,K,0,0,0,0,0,1,0,0,0.0,0.0,0.7499752282110732,0.5
K2-72 b,K2-72,1,4,2016.0,Transit,1.08,1.28,5.58,5.577212,0.04,0.11,89.15,426.3649783305369,0.109,1.67,2457010.376,8.5,3360.47,0.330989,0.271365,-1.83673,0.0205,5.048,3.98,66.4321,15.37,11.685,0.014563642178770752,0.02983903222780281,0.514622838009372,0.001924095322150178,0.031156716417852316,0.15730811227370833,M,0,0,0,0,0,0,1,0,0.0,0.0,0.941970717243032,1.0
K2-72 c,K2-72,1,4,2016.0,Transit,1.16,1.65,5.81,15.189034,0.078,0.11,89.54,305.32630275199796,,2.15,2456989.465,2.2,3360.47,0.330989,0.271365,-1.83673,0.0205,5.048,3.98,66.4321,15.37,11.685,0.014563642178770752,0.0,0.514622838009372,0.0,0.040111940298432625,0.1543868514028116,M,0,0,0,0,0,0,1,0,0.0,0.0,0.9695224349709258,1.0
