,pl_name,hostname,pl_rade,pl_eqt,pl_orbsmax,st_teff,spectral_class,detectability,priority_score,pred_priority,uncertainty,scientific_gain,pred_str
2181,Kepler-401 d,Kepler-401,2.27,380.0,0.66886,6184.0,F,0.0011469283516743,0.6536530806753129,0.6317165422456853,0.09164016546817527,0.00010510470392757438,0.632 +/- 0.092
2182,Kepler-1381 b,Kepler-1381,2.25,649.0,0.1728,5747.0,G,0.0003674410508884,0.6344684093182932,0.6317158350916179,0.012664048862541995,4.653291422554477e-06,0.632 +/- 0.013
2183,Kepler-85 b,Kepler-85,1.778,809.0,0.07885,5505.2,G,0.0005402892043232,0.57862221830523,0.6316740034650454,0.13299080983521822,7.185349882816804e-05,0.632 +/- 0.133
2184,Kepler-614 b,Kepler-614,2.39,641.0,0.1027,5268.0,G,0.0025507817596539,0.6336337750601103,0.6315823747053295,0.01142985498809439,2.9155065619120314e-05,0.632 +/- 0.011
2185,Kepler-1034 b,Kepler-1034,2.26,675.0,0.0965,5198.0,K,0.0011062656158993,0.6372625681441418,0.6313685775441464,0.01630427290303634,1.8036856504867764e-05,0.631 +/- 0.016
2186,Kepler-654 b,Kepler-654,2.07,831.0,0.11664,5865.0,G,0.0007384788365546,0.6378314373399174,0.6313416062158426,0.027412035689992318,2.0243208223938697e-05,0.631 +/- 0.027
2187,Kepler-1486 b,Kepler-1486,2.32,538.0,0.2846,5965.0,G,0.0003757959131017,0.636722997585207,0.6312264313001493,0.02779568603020442,1.0445505212008835e-05,0.631 +/- 0.028
2188,Kepler-57 c,Kepler-57,2.196,671.0,0.09588,5187.9,K,0.0009148112650836,0.6348003166480952,0.6311464192793848,0.07819584716130004,7.153444186591273e-05,0.631 +/- 0.078
2189,Kepler-509 b,Kepler-509,2.49,584.0,0.23702,6060.0,F,0.0146536241594674,0.6466978185133954,0.6311099837200496,0.052739757167163163,0.0007728285797891861,0.631 +/- 0.053
2190,Kepler-142 d,Kepler-142,2.16,582.0,0.242,5790.0,G,0.0020040791509292,0.6308074989985669,0.6310124492087863,0.03937578805328568,7.891219588899691e-05,0.631 +/- 0.039
